,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date
0,2024-02-01 16:00:00-05:00,2.1,2.18,0.039,2024-02-01
1,2023-11-02 16:00:00-04:00,1.39,1.46,0.0492,2023-11-02
2,2023-08-03 16:00:00-04:00,1.19,1.26,0.054900000000000004,2023-08-03
3,2023-05-04 16:00:00-04:00,1.43,1.52,0.060300000000000006,2023-05-04
4,2023-02-02 16:00:00-05:00,1.94,1.88,-0.0288,2023-02-02
5,2022-10-27 16:00:00-04:00,1.27,1.29,0.015500000000000002,2022-10-27
6,2022-07-28 16:00:00-04:00,1.16,1.2,0.0325,2022-07-28
7,2022-04-28 16:00:00-04:00,1.43,1.52,0.0644,2022-04-28
8,2022-01-27 16:00:00-05:00,1.89,2.1,0.11170000000000001,2022-01-27
9,2021-10-28 16:00:00-04:00,1.24,1.24,0.003,2021-10-28
10,2021-07-27 16:00:00-04:00,1.01,1.3,0.2912,2021-07-27
11,2021-04-28 16:00:00-04:00,0.99,1.4,0.4189,2021-04-28
12,2021-01-27 16:00:00-05:00,1.41,1.68,0.1902,2021-01-27
13,2020-10-29 16:00:00-04:00,0.7,0.73,0.0425,2020-10-29
14,2020-07-30 16:00:00-04:00,0.51,0.65,0.2625,2020-07-30
15,2020-04-30 16:00:00-04:00,0.57,0.64,0.1278,2020-04-30
16,2020-01-28 16:00:00-05:00,1.14,1.25,0.09730000000000001,2020-01-28
